Gene	Transcripts
GIMAP6	NM_001244072.1
GIMAP7	NM_153236.3
GIMAP8	NM_175571.2
GIN1	NM_017676.2
GINS1	NM_021067.3
GINS2	NM_016095.2
GINS3	NM_001126129.1
GINS4	NM_032336.2
GIP	NM_004123.2
GIPC1	NM_202470.2
GIPC2	NM_017655.4
GIPC3	NM_133261.2
GIPR	NM_000164.2
GIT1	NM_001085454.1
GIT2	NM_057169.3
GJA1	NM_000165.3
GJA10	NM_032602.1
GJA3	NM_021954.3
GJA4	NM_002060.2
GJA5	NM_181703.3
GJA8	NM_005267.4
GJA9	NM_030772.4
GJB1	NM_001097642.2
GJB2	NM_004004.5
GJB3	NM_001005752.1
GJB4	NM_153212.2
GJB5	NM_005268.3
GJB6	NM_001110221.2
GJB7	NM_198568.2
GJC1	NM_001080383.1
GJC2	NM_020435.3
GJC3	NM_181538.2
GJD2	NM_020660.2
GJD3	NM_152219.3
GJD4	NM_153368.2
GK	NM_001205019.1
GK2	NM_033214.2
GK5	NM_001039547.2
GKAP1	NM_025211.3
GKN1	NM_019617.3
GKN2	NM_182536.2
GLA	NM_000169.2
GLB1	NM_000404.2
GLB1L	NM_024506.3
GLB1L2	NM_138342.3
GLB1L3	NM_001080407.2
GLCCI1	NM_138426.3
GLCE	NM_015554.1
GLDC	NM_000170.2
GLDN	NM_181789.2
GLE1	NM_001003722.1
GLG1	NM_012201.5
GLI1	NM_005269.2
GLI2	NM_005270.4
GLI3	NM_000168.5
GLI4	NM_138465.3
GLIPR1	NM_006851.2
GLIPR1L1	NM_152779.2
GLIPR1L2	NM_152436.2
GLIPR2	NM_022343.2
GLIS1	NM_147193.2
GLIS2	NM_032575.2
GLIS3	NM_001042413.1
GLMN	NM_053274.2
GLO1	NM_006708.2
GLOD4	NM_016080.3
GLOD5	NM_001080489.2
GLP1R	NM_002062.3
GLP2R	NM_004246.1
GLRA1	NM_001146040.1
GLRA2	NM_001118885.1
GLRA3	NM_006529.2
GLRA4	NM_001024452.2
GLRB	NM_000824.4
GLRX	NM_001243658
GLRX2	NM_197962.2
GLRX3	NM_006541.4
GLRX5	NM_016417.2
GLS	NM_014905.4
GLS2	NM_013267.3
GLT1D1	NM_144669.1
GLT25D1	NM_024656.2
GLT25D2	NM_015101.2
GLT6D1	NM_182974.2
GLT8D1	NM_152932.2
GLT8D2	NM_031302.3
GLTP	NM_016433.3
GLTPD1	NM_001029885.1
GLTPD2	NM_001014985.2
GLTSCR1	NM_015711.3
GLTSCR2	NM_015710.4
GLUD1	NM_005271.3
GLUD2	NM_012084.3
GLUL	NM_001033056.2
GLYAT	NM_201648.2
GLYATL1	NM_080661.3
GLYATL2	NM_145016.3
GLYATL3	NM_001010904.1
GLYCTK	NM_145262.3
GLYR1	NM_032569.3
GM2A	NM_000405.4
GMCL1	NM_178439.3
GMDS	NM_001500.3
GMEB1	NM_024482.2
GMEB2	NM_012384.3
GMFB	NM_004124.2
GMFG	NM_004877.2
GMIP	NM_016573.2
GML	NM_002066.2
GMNC	NM_001146686.2
GMNN	NM_001251989.1
GMPPA	NM_013335.3
GMPPB	NM_013334.3
GMPR	NM_006877.3
GMPR2	NM_001002002.1
GMPS	NM_003875.2
GNA11	NM_002067.2
GNA12	NM_007353.2
GNA13	NM_006572.4
GNA14	NM_004297.3
GNA15	NM_002068.2
GNAI1	NM_002069.5
GNAI2	NM_002070.2
GNAI3	NM_006496.3
GNAL	NM_182978.3
GNAO1	NM_138736.2
GNAQ	NM_002072.3
GNAS	NM_000516.4
GNAT1	NM_000172.3
GNAT2	NM_005272.3
GNAT3	NM_001102386.1
GNAZ	NM_002073.2
GNB1	NM_002074.3
GNB1L	NM_053004.2
GNB2	NM_005273.3
GNB2L1	NM_006098.4
GNB3	NM_002075.2
GNB4	NM_021629.3
GNB5	NM_016194.3
GNE	NM_001128227.2
GNG11	NM_004126.3
GNG12	NM_018841.5
GNG13	NM_016541.2
GNG2	NM_001243774.1
GNG3	NM_012202.4
GNG4	NM_004485.3
GNG5	NM_005274.2
GNG7	NM_052847.2
GNG8	NM_033258.1
GNGT1	NM_021955.3
GNGT2	NM_001198754.1
GNL1	NM_005275.3
GNL2	NM_013285.2
GNL3	NM_014366.4
GNL3L	NM_019067.5
GNLY	NM_006433.3
GNMT	NM_018960.4
GNPAT	NM_014236.3
GNPDA1	NM_005471.4
GNPDA2	NM_138335.2
GNPNAT1	NM_198066.3
GNPTAB	NM_024312.4
GNPTG	NM_032520.4
GNRH1	NM_001083111.1
GNRH2	NM_001501.1
GNRHR	NM_000406.2
GNS	NM_002076.3
GOLGA1	NM_002077.3
GOLGA2	NM_004486.4
GOLGA3	NM_005895.3
GOLGA4	NM_001172713.1
GOLGA5	NM_005113.3
GOLGA6A	NM_001038640.2
GOLGA6B	NM_018652.4
GOLGA6C	NM_001164404.1
GOLGA6D	NM_001145224.1
GOLGA6L1	NM_001001413.3
GOLGA6L10	NM_001164465.2
GOLGA6L6	NM_001145004.1
GOLGA6L9	NM_198181.2
GOLGA7	NM_016099.2
GOLGA7B	NM_001010917.2
GOLGA8A	NM_181077.3
GOLGA8B	NM_001023567.4
GOLGB1	NM_004487.4
GOLIM4	NM_014498.3
GOLM1	NM_016548.3
GOLPH3	NM_022130.3
GOLPH3L	NM_018178.5
GOLT1A	NM_198447.1
GOLT1B	NM_016072.4
GON4L	NM_001037533.1
GORAB	NM_152281.2
GORASP1	NM_031899.3
GORASP2	NM_001201428.1
GOSR1	NM_004871.2
GOSR2	NM_004287.3
GOT1	NM_002079.2
GOT1L1	NM_152413.2
GOT2	NM_002080.2
GP1BA	NM_000173.5
GP1BB	NM_000407.4
GP2	NM_001502.2
GP5	NM_004488.2
GP6	NM_001083899.1
GP9	NM_000174.3
GPA33	NM_005814.1
GPAA1	NM_003801.3
GPAM	NM_001244949.1
GPANK1	NM_001199240.1
GPAT2	NM_207328.2
GPATCH1	NM_018025.2
GPATCH2	NM_018040.2
GPATCH3	NM_022078.2
GPATCH4	NM_182679.2
GPATCH8	NM_001002909.2
GPBAR1	NM_170699.2
GPBP1	NM_001127236.2
GPBP1L1	NM_021639.4
GPC1	NM_002081.2
GPC2	NM_152742.1
GPC3	NM_001164617.1
GPC4	NM_001448.2
GPC5	NM_004466.4
GPC6	NM_005708.3
GPCPD1	NM_019593.3
GPD1	NM_005276.3
GPD1L	NM_015141.3
GPD2	NM_000408.4
GPER	NM_001098201.1
GPHA2	NM_130769.3
GPHB5	NM_145171
GPHN	NM_020806.4
GPI	NM_000175.3
GPIHBP1	NM_178172.3
GPKOW	NM_015698.4
GPLD1	NM_001503.3
GPM6A	NM_005277.4
GPM6B	NM_001001995.1
GPN1	NM_007266.3
GPN2	NM_018066.3
GPN3	NM_001164372.1
GPNMB	NM_002510.2
GPR1	NM_001098199.1
GPR101	NM_054021.1
GPR107	NM_020960.4
GPR108	NM_001080452.1
GPR110	NM_153840.2
GPR111	NM_153839.6
GPR112	NM_153834.3
GPR113	NM_001145168.1
GPR114	NM_153837.1
GPR115	NM_153838.3
GPR116	NM_001098518.1
GPR119	NM_178471.2
GPR12	NM_005288.3
GPR124	NM_032777.9
GPR125	NM_145290.3
GPR126	NM_198569.2
GPR128	NM_032787.2
GPR132	NM_013345.3
GPR133	NM_198827.3
GPR135	NM_022571.5
GPR137	NM_001170726.1
GPR137B	NM_003272.3
GPR137C	NM_001099652.1
GPR139	NM_001002911.2
GPR141	NM_181791.1
GPR142	NM_181790.1
GPR143	NM_000273.2
GPR144	NM_001161808.1
GPR146	NM_138445.2
GPR148	NM_207364.2
GPR149	NM_001038705.1
GPR15	NM_005290.2
GPR150	NM_199243.1
GPR151	NM_194251.2
GPR152	NM_206997.1
GPR153	NM_207370.2
GPR155	NM_152529.6
GPR156	NM_153002.2
GPR157	NM_024980.4
GPR158	NM_020752.2
GPR160	NM_014373.2
GPR161	NM_153832.2
GPR162	NM_019858.1
GPR17	NM_005291.2
GPR171	NM_013308.3
GPR173	NM_018969.5
GPR174	NM_032553.1
GPR176	NM_007223.2
GPR179	NM_001004334.2
GPR18	NM_001098200.1
GPR180	NM_180989.5
GPR182	NM_007264.3
GPR183	NM_004951.4
GPR19	NM_006143.2
GPR20	NM_005293.2
GPR21	NM_005294.2
GPR22	NM_005295.2
GPR25	NM_005298.3
GPR26	NM_153442.3
GPR27	NM_018971.1
GPR3	NM_005281.3
GPR31	NM_005299.2
GPR32	NM_001506.2
GPR34	NM_005300.3
GPR35	NM_005301.3
GPR37	NM_005302.3
GPR37L1	NM_004767.3
GPR39	NM_001508.2
GPR4	NM_005282.2
GPR45	NM_007227.3
GPR50	NM_004224.3
GPR52	NM_005684.4
GPR55	NM_005683.3
GPR56	NM_001145770.1
GPR6	NM_005284.3
GPR61	NM_031936.4
GPR62	NM_080865.3
GPR63	NM_030784.3
GPR64	NM_001079858.2
GPR65	NM_003608.3
GPR68	NM_001177676.1
GPR75	NM_006794.3
GPR75-ASB3	NM_001164165.1
GPR77	NM_018485.2
GPR78	NM_080819.4
GPR82	NM_080817.4
GPR83	NM_016540.3
GPR84	NM_020370.2
GPR85	NM_001146267.1
GPR87	NM_023915.3
GPR88	NM_022049.2
GPR89A	NM_001097612.1
GPR89B	NM_016334.3
GPR89C	NM_001097616.1
GPR97	NM_170776.4
GPR98	NM_032119.3
GPRASP1	NM_001099411.1
GPRC5A	NM_003979.3
GPRC5B	NM_016235.1
GPRC5C	NM_018653.3
GPRC5D	NM_018654.1
GPRC6A	NM_148963.2
GPRIN1	NM_052899.2
GPRIN2	NM_014696.3
GPRIN3	NM_198281.2
GPS1	NM_004127.4
GPS2	NM_004489.4
GPSM1	NM_001145638.2
GPSM2	NM_013296.4
GPSM3	NM_022107.1
GPT	NM_005309.2
GPT2	NM_133443.2
GPX1	NM_000581.2
GPX2	NM_002083.3
GPX3	NM_002084.3
GPX4	NM_001039847.1
GPX5	NM_001509.2
GPX6	NM_182701.1
GPX7	NM_015696.4
GPX8	NM_001008397.2
GRAMD1A	NM_020895.3
GRAMD1B	NM_020716.1
GRAMD1C	NM_017577.4
GRAMD2	NM_001012642.2
GRAMD3	NM_001146319.1
GRAMD4	NM_015124.3
GRAP	NM_006613.3
GRAP2	NM_004810.2
GRAPL	NM_001129778.1
GRASP	NM_181711.3
GRB10	NM_005311.4
GRB14	NM_004490.2
GRB2	NM_002086.4
GRB7	NM_005310.3
GREB1	NM_014668.3
GREB1L	NM_001142966.1
GREM1	NM_013372.6
GREM2	NM_022469.3
GRHL1	NM_198182.2
GRHL2	NM_024915.3
GRHL3	NM_198174.2
GRHPR	NM_012203.1
GRIA1	NM_000827.3
GRIA2	NM_000826.3
GRIA3	NM_000828.4
GRIA4	NM_000829.3
GRID1	NM_017551.2
GRID2	NM_001510.2
GRID2IP	NM_001145118.1
GRIK1	NM_000830.3
GRIK2	NM_021956.4
GRIK3	NM_000831.3
GRIK4	NM_014619.2
GRIK5	NM_002088.4
GRIN1	NM_001185090.1
GRIN2A	NM_001134407.1
GRIN2B	NM_000834.3
GRIN2C	NM_000835.4
GRIN2D	NM_000836.2
GRIN3A	NM_133445.2
GRIN3B	NM_138690.1
GRINA	NM_000837.1
GRIP1	NM_021150.3
GRIP2	NM_001080423
GRIPAP1	NM_020137.3
GRK1	NM_002929.2
GRK4	NM_182982.2
GRK5	NM_005308.2
GRK6	NM_002082.3
GRK7	NM_139209.2
GRM1	NM_000838
GRM2	NM_000839.3
GRM3	NM_000840.2
GRM4	NM_000841.2
GRM5	NM_001143831.2
GRM6	NM_000843.3
GRM7	NM_181874.2
GRM8	NM_000845.2
GRN	NM_002087.2
GRP	NM_002091.3
GRPEL1	NM_025196.2
GRPEL2	NM_152407.3
GRPR	NM_005314.2
GRSF1	NM_002092.3
GRTP1	NM_024719.2
GRWD1	NM_031485.3
GRXCR1	NM_001080476.2
GRXCR2	NM_001080516.1
GSC	NM_173849.2
GSC2	NM_005315.1
GSDMA	NM_178171.4
GSDMB	NM_001165958.1
GSDMC	NM_031415.2
GSDMD	NM_024736.6
GSG1	NM_001206842.1
GSG1L	NM_001109763.1
GSG2	NM_031965.2
GSK3A	NM_019884.2
GSK3B	NM_002093.3
GSN	NM_000177.4
GSPT1	NM_002094.3
GSPT2	NM_018094.4
GSR	NM_000637.3
GSS	NM_000178.2
GSTA1	NM_145740.3
GSTA2	NM_000846.4
GSTA3	NM_000847.4
GSTA4	NM_001512.3
GSTA5	NM_153699.1
GSTCD	NM_001031720.3
GSTK1	NM_015917.2
GSTM1	NM_000561.3
GSTM3	NM_000849.4
GSTM4	NM_000850.4
GSTM5	NM_000851.3
GSTO1	NM_004832.2
GSTO2	NM_183239.1
GSTP1	NM_000852.3
GSTT1	NM_000853.2
GSTT2	NM_000854.3
GSTZ1	NM_145870.2
GSX1	NM_145657.1
GSX2	NM_133267.2
GTDC1	NM_001164629.2
GTF2A1	NM_015859.3
GTF2A2	NM_004492.2
GTF2B	NM_001514.5
GTF2E1	NM_005513.2
GTF2E2	NM_002095.4
GTF2F1	NM_002096.2
GTF2F2	NM_004128.2
GTF2H1	NM_005316.3
GTF2H2	NM_001515.3
GTF2H2C	NM_001098728.1
GTF2H3	NM_001516.4
GTF2H4	NM_001517.4
GTF2H5	NM_207118.2
GTF2I	NM_032999.3
GTF2IRD1	NM_005685.3
GTF2IRD2	NM_173537.3
GTF2IRD2B	NM_001003795.2
GTF3A	NM_002097.2
GTF3C1	NM_001520.3
GTF3C2	NM_001035521.2
GTF3C3	NM_012086.4
GTF3C4	NM_012204.2
GTF3C5	NM_001122823.1
GTF3C6	NM_138408.3
GTPBP1	NM_004286.4
GTPBP10	NM_033107.3
GTPBP2	NM_019096.3
GTPBP3	NM_032620.3
GTPBP4	NM_012341.2
GTPBP5	NM_015666.3
GTPBP6	NM_012227.2
GTPBP8	NM_014170.2
GTSE1	NM_016426.6
GTSF1	NM_144594.2
GTSF1L	NM_176791.3
GUCA1A	NM_000409.3
GUCA1B	NM_002098.5
GUCA1C	NM_005459.3
GUCA2A	NM_033553.2
GUCA2B	NM_007102.2
GUCY1A2	NM_000855.2
GUCY1A3	NM_001130682.2
GUCY1B3	NM_000857.2
GUCY2C	NM_004963.3
GUCY2D	NM_000180.3
GUCY2F	NM_001522.2
GUF1	NM_021927.2
GUK1	NM_001242840.1
GULP1	NM_016315.3
GUSB	NM_000181.3
GXYLT1	NM_173601.1
GXYLT2	NM_001080393.1
GYG1	NM_004130.3
GYG2	NM_003918.2
GYLTL1B	NM_152312.3
GYPA	NM_002099.6
GYPC	NM_002101.4
GYPE	NM_198682.2
GYS1	NM_002103.4
GYS2	NM_021957.3
GZF1	NM_022482.3
GZMA	NM_006144.3
GZMB	NM_004131.4
GZMH	NM_033423.4
GZMK	NM_002104.2
GZMM	NM_005317.3
H1F0	NM_005318.3
H1FNT	NM_181788.1
H1FOO	NM_153833.1
H1FX	NM_006026.3
H2AFB2	NM_001017991.2
H2AFB3	NM_080720.1
H2AFJ	NM_177925.2
H2AFV	NM_012412.4
H2AFX	NM_002105.2
H2AFY	NM_138610.2
H2AFY2	NM_018649.2
H2AFZ	NM_002106.3
H2BFM	NM_001164416.1
H2BFWT	NM_001002916.4
H3F3A	NM_002107.4
H3F3B	NM_005324.3
H3F3C	NM_001013699.2
H6PD	NM_004285.3
HAAO	NM_012205.2
HABP2	NM_004132.3
HABP4	NM_014282.2
HACE1	NM_020771.3
HACL1	NM_012260.2
HADH	NM_005327.4
HADHA	NM_000182.4
HADHB	NM_000183.2
HAGH	NM_005326.4
HAGHL	NM_032304.2
HAL	NM_002108.3
HAMP	NM_021175.2
HAND1	NM_004821.2
HAND2	NM_021973.2
HAO1	NM_017545.2
HAO2	NM_016527.2
HAP1	NM_177977.2
HAPLN1	NM_001884.3
HAPLN2	NM_021817.2
HAPLN3	NM_178232.2
HAPLN4	NM_023002.2
HARBI1	NM_173811.3
HARS	NM_002109.4
HARS2	NM_012208.3
HAS1	NM_001523.2
HAS2	NM_005328.2
HAS3	NM_001199280.1
HAT1	NM_003642.3
HAUS1	NM_138443.3
HAUS2	NM_018097.2
HAUS3	NM_024511.5
HAUS4	NM_017815.2
HAUS5	NM_015302.1
HAUS6	NM_017645.4
HAUS7	NM_017518.7
HAUS8	NM_033417.1
HAVCR1	NM_001173393.1
HAVCR2	NM_032782.4
HAX1	NM_006118.3
HBA1	NM_000558.3
HBA2	NM_000517.4
HBB	NM_000518.4
HBD	NM_000519.3
HBE1	NM_005330.3
HBEGF	NM_001945.2
HBG1	NM_000559.2
HBM	NM_001003938.3
HBP1	NM_001244262.1
HBQ1	NM_005331.4
HBS1L	NM_006620.3
HBZ	NM_005332.2
HCAR1	NM_032554.3
HCAR2	NM_177551.3
HCAR3	NM_006018.2
HCCS	NM_001122608.2
HCFC1	NM_005334.2
HCFC1R1	NM_017885.2
HCFC2	NM_013320.2
HCK	NM_001172133.1
HCLS1	NM_005335.4
HCN1	NM_021072.3
HCN2	NM_001194.3
HCN3	NM_020897.2
HCN4	NM_005477.2
HCRT	NM_001524.1
HCRTR1	NM_001525.2
HCRTR2	NM_001526.3
HCST	NM_014266.3
HDAC1	NM_004964.2
HDAC10	NM_032019.5
HDAC11	NM_024827.3
HDAC2	NM_001527.3
HDAC3	NM_003883.3
HDAC4	NM_006037.3
HDAC5	NM_001015053.1
HDAC6	NM_006044.2
HDAC7	NM_015401.3
HDAC8	NM_018486.2
HDAC9	NM_178425.2
HDC	NM_002112.3
HDDC2	NM_016063.2
HDDC3	NM_198527.2
HDGF	NM_004494.2
HDGFL1	NM_138574.2
HDGFRP2	NM_001001520.1
HDGFRP3	NM_016073.3
HDHD1	NM_001135565.1
HDHD2	NM_032124.4
HDHD3	NM_031219.2
HDLBP	NM_203346.3
HDX	NM_144657.4
HEATR1	NM_018072.5
HEATR2	NM_017802.3
HEATR3	NM_182922.2
HEATR4	NM_203309.2
HEATR5A	NM_015473.3
HEATR5B	NM_019024.1
HEATR6	NM_022070.4
HEATR7A	NM_032450.2
HEATR7B2	NM_173489.4
HEATR8	NM_001039464.2
HEBP1	NM_015987.4
HEBP2	NM_014320.2
HECA	NM_016217.2
HECTD1	NM_015382.2
HECTD2	NM_182765.3
HECTD3	NM_024602.5
HECW1	NM_015052.3
HECW2	NM_020760.1
HEG1	NM_020733.1
HELB	NM_033647.3
HELLS	NM_018063.3
HELQ	NM_133636.2
HELT	NM_001029887.1
HELZ	NM_014877.3
HEMGN	NM_197978.2
HEMK1	NM_016173.3
HENMT1	NM_001102592.1
HEPACAM	NM_152722.4
HEPACAM2	NM_001039372.1
HEPH	NM_138737.3
HEPHL1	NM_001098672.1
HEPN1	NM_001037558.2
HERC1	NM_003922.3
HERC2	NM_004667.5
HERC3	NM_014606.2
HERC4	NM_022079.2
HERC5	NM_016323.3
HERC6	NM_017912.3
HERPUD1	NM_014685.3
HERPUD2	NM_022373.4
HES1	NM_005524.3
HES2	NM_019089.4
HES3	NM_001024598.3
HES4	NM_021170.3
HES5	NM_001010926.3
HES6	NM_018645.4
HES7	NM_032580.3
HESX1	NM_003865.2
HEXA	NM_000520.4
HEXB	NM_000521.3
HEXDC	NM_173620.2
HEXIM1	NM_006460.2
HEXIM2	NM_144608.1
HEY1	NM_012258.3
HEY2	NM_012259.2
HEYL	NM_014571.3
HFE	NM_000410.3
HFE2	NM_213653.3
HFM1	NM_001017975.3
HGC6.3	NM_001129895
HGD	NM_000187.3
HGF	NM_000601.4
HGFAC	NM_001528.2
HGS	NM_004712.4
HGSNAT	NM_152419.2
HHAT	NM_001122834.2
HHATL	NM_020707.3
HHEX	NM_002729.4
HHIP	NM_022475.2
HHIPL1	NM_001127258.1
HHIPL2	NM_024746.3
HHLA1	NM_001145095.1
HHLA2	NM_007072.2
HHLA3	NM_001031693.2
HIAT1	NM_033055.2
HIATL1	NM_032558.2
HIBADH	NM_152740.3
HIBCH	NM_014362.3
HIC1	NM_001098202.1
HIC2	NM_015094.2
HIF1A	NM_001530.3
HIF1AN	NM_017902.2
HIF3A	NM_152795.3
HIGD1A	NM_001099668.1
HIGD1B	NM_016438.3
HIGD1C	NM_001109619.1
HIGD2A	NM_138820.2
HILPDA	NM_001098786.1
HINFP	NM_198971.2
HINT1	NM_005340.6
HINT2	NM_032593.2
HINT3	NM_138571.4
HIP1	NM_005338.6
HIP1R	NM_003959.1
HIPK1	NM_198268.2
HIPK2	NM_022740.4
HIPK3	NM_005734.4
HIPK4	NM_144685.3
HIRA	NM_003325.3
HIRIP3	NM_003609.4
HIST1H1A	NM_005325.3
HIST1H1B	NM_005322.2
HIST1H1C	NM_005319.3
HIST1H1D	NM_005320.2
HIST1H1E	NM_005321.2
HIST1H1T	NM_005323.3
HIST1H2AA	NM_170745.3
HIST1H2AB	NM_003513.2
HIST1H2AC	NM_003512.3
HIST1H2AD	NM_021065.3
HIST1H2AE	NM_021052.2
HIST1H2AG	NM_021064.4
HIST1H2AH	NM_080596.2
HIST1H2AJ	NM_021066.2
HIST1H2AK	NM_003510.2
HIST1H2AL	NM_003511.2
HIST1H2AM	NM_003514.2
HIST1H2BA	NM_170610.2
HIST1H2BB	NM_021062.2
HIST1H2BC	NM_003526.2
HIST1H2BD	NM_021063.3
HIST1H2BE	NM_003523.2
HIST1H2BF	NM_003522.3
HIST1H2BG	NM_003518.3
HIST1H2BH	NM_003524.2
HIST1H2BI	NM_003525.2
HIST1H2BJ	NM_021058
HIST1H2BK	NM_080593.2
HIST1H2BL	NM_003519.3
HIST1H2BM	NM_003521.2
HIST1H2BN	NM_003520.3
HIST1H2BO	NM_003527.4
HIST1H3A	NM_003529.2
HIST1H3B	NM_003537.3
HIST1H3C	NM_003531.2
HIST1H3D	NM_003530.4
HIST1H3E	NM_003532.2
HIST1H3F	NM_021018.2
HIST1H3G	NM_003534.2
HIST1H3H	NM_003536.2
HIST1H3I	NM_003533.2
HIST1H3J	NM_003535.2
HIST1H4A	NM_003538.3
HIST1H4B	NM_003544.2
HIST1H4C	NM_003542.3
HIST1H4D	NM_003539.3
HIST1H4E	NM_003545.3
HIST1H4F	NM_003540.3
HIST1H4G	NM_003547.2
HIST1H4H	NM_003543.3
HIST1H4I	NM_003495.2
HIST1H4J	NM_021968.3
HIST1H4K	NM_003541.2
HIST1H4L	NM_003546.2
HIST2H2AA3	NM_003516.2
HIST2H2AB	NM_175065.2
HIST2H2AC	NM_003517.2
HIST2H2BE	NM_003528.2
HIST2H2BF	NM_001161334.1
HIST2H3C	NM_021059.2
HIST2H3D	NM_001123375.2
HIST2H4A	NM_003548.2
HIST3H2A	NM_033445.2
HIST3H2BB	NM_175055.2
HIST3H3	NM_003493.2
HIST4H4	NM_175054.2
HIVEP1	NM_002114.2
HIVEP2	NM_006734.3
HIVEP3	NM_001127714.2
HJURP	NM_018410.3
HK1	NM_033497.2
HK2	NM_000189.4
HK3	NM_002115.2
HKDC1	NM_025130.3
HKR1	NM_181786.2
HLA-A	NM_001242758.1
HLA-B	NM_005514.6
HLA-C	NM_002117.5
HLA-DMA	NM_006120.3
HLA-DMB	NM_002118.4
HLA-DOA	NM_002119.3
HLA-DPA1	NM_033554.3
HLA-DPB1	NM_002121.5
HLA-DQA1	NM_002122.3
HLA-DQA2	NM_020056.4
HLA-DQB2	NM_001198858.1
HLA-DRA	NM_019111.4
HLA-DRB1	NM_001243965.1
HLA-DRB5	NM_002125.3
HLA-E	NM_005516.5
HLA-F	NM_001098479.1
HLA-G	NM_002127.5
HLCS	NM_001242785.1
HLF	NM_002126.4
HLTF	NM_003071.3
HLX	NM_021958.3
HM13	NM_178581.1
HMBOX1	NM_001135726.1
HMBS	NM_000190.3
HMCN1	NM_031935.2
HMG20A	NM_018200.2
HMG20B	NM_006339.2
HMGA1	NM_145901.2
HMGA2	NM_003483.4
HMGB1	NM_002128.4
HMGB2	NM_001130689.1
HMGB3	NM_005342.2
HMGB4	NM_145205.4
HMGCL	NM_000191.2
HMGCLL1	NM_019036.2
HMGCR	NM_000859.2
HMGCS1	NM_002130.7
HMGCS2	NM_005518.3
HMGN1	NM_004965.6
HMGN2	NM_005517.3
HMGN3	NM_001201363.1
HMGN4	NM_006353.2
HMGN5	NM_030763.2
HMGXB3	NM_014983.2
HMGXB4	NM_001003681.2
HMHA1	NM_012292.3
HMHB1	NM_021182.1
HMMR	NM_001142556.1
HMOX1	NM_002133.2
HMOX2	NM_002134.3
HMP19	NM_015980.4
HMSD	NM_001123366.1
HMX1	NM_018942.2
HMX2	NM_005519.1
HMX3	NM_001105574.1
HN1	NM_001002032.1
HN1L	NM_144570.2
HNF1A	NM_000545.5
HNF1B	NM_000458.2
HNF4A	NM_000457.4
HNF4G	NM_004133.4
HNMT	NM_006895.2
HNRNPA0	NM_006805.3
HNRNPA1	NM_031157.2
HNRNPA1L2	NM_001011725.1
HNRNPA2B1	NM_031243.2
HNRNPA3	NM_194247.2
HNRNPAB	NM_031266.2
HNRNPC	NM_001077442.1
HNRNPD	NM_031370.2
HNRNPF	NM_001098206.1
HNRNPH1	NM_005520.2
HNRNPH2	NM_001032393.2
HNRNPH3	NM_012207.2
HNRNPK	NM_031263.2
HNRNPL	NM_001533.2
HNRNPM	NM_005968.4
HNRNPR	NM_001102398.1
HNRNPU	NM_004501.3
HNRNPUL1	NM_007040.3
HNRNPUL2	NM_001079559.2
HNRPDL	NM_031372.3
HNRPLL	NM_138394.3
HOMER1	NM_004272.4
HOMER2	NM_199330.2
HOMER3	NM_004838.3
HOMEZ	NM_020834.2
HOOK1	NM_015888.4
HOOK2	NM_013312.2
HOOK3	NM_032410.3
HOPX	NM_139211.4
HORMAD1	NM_032132.4
HORMAD2	NM_152510.2
HOXA1	NM_005522.4
HOXA10	NM_018951.3
HOXA11	NM_005523.5
HOXA13	NM_000522.4
HOXA2	NM_006735.3
HOXA3	NM_030661.4
HOXA4	NM_002141.4
HOXA5	NM_019102.3
HOXA6	NM_024014.3
HOXA7	NM_006896.3
HOXA9	NM_152739.3
HOXB1	NM_002144.3
HOXB13	NM_006361.5
HOXB2	NM_002145.3
HOXB3	NM_002146.4
HOXB4	NM_024015.4
HOXB5	NM_002147.3
HOXB6	NM_018952.4
HOXB7	NM_004502.3
HOXB8	NM_024016.3
HOXB9	NM_024017.4
HOXC10	NM_017409.3
HOXC11	NM_014212.3
HOXC12	NM_173860.1
HOXC13	NM_017410.2
HOXC4	NM_153633.2
HOXC5	NM_018953.2
HOXC6	NM_004503.3
HOXC8	NM_022658.3
HOXC9	NM_006897.1
HOXD1	NM_024501.2
HOXD10	NM_002148.3
HOXD11	NM_021192.2
HOXD12	NM_021193.3
HOXD13	NM_000523.3
HOXD3	NM_006898.4
HOXD4	NM_014621.2
HOXD8	NM_019558.3
HOXD9	NM_014213.3
HP	NM_005143.3
HP1BP3	NM_016287.3
HPCA	NM_002143.2
HPCAL1	NM_002149.3
HPCAL4	NM_016257.2
HPD	NM_002150.2
HPDL	NM_032756.2
HPGD	NM_000860.5
HPGDS	NM_014485.2
HPN	NM_002151.2
HPR	NM_020995.3
HPRT1	NM_000194.2
HPS1	NM_000195.3
HPS3	NM_032383.3
HPS4	NM_152841.2
HPS5	NM_181507.1
HPS6	NM_024747.5
HPSE	NM_001098540.2
HPSE2	NM_021828.4
HPX	NM_000613.2
HR	NM_005144.4
HRAS	NM_001130442.1
HRASLS	NM_020386.4
HRASLS2	NM_017878.1
HRASLS5	NM_001146729.1
HRC	NM_002152.2
HRCT1	NM_001039792.1
HRG	NM_000412.2
HRH1	NM_001098212.1
HRH2	NM_001131055.1
HRH3	NM_007232.2
HRH4	NM_021624.3
HRK	NM_003806.2
HRNR	NM_001009931.2
HRSP12	NM_005836.2
HS1BP3	NM_022460.3
HS2ST1	NM_012262.3
HS3ST1	NM_005114.2
HS3ST2	NM_006043.1
