NM_000014.5	A2M
NM_001001713.1	SH3BGR
NM_001001715.3	FARP1
NM_001001722.1	CDY2B
NM_001001732.3	CC2D2B
NM_001001734.1	ATP1A4
NM_001001740.3	RFWD2
NM_001001786.2	BLID
NM_001001788.3	RAET1G
NM_001001790.2	TOMM5
NM_001001791.2	C10orf55
NM_001001794.3	DENND6B
NM_001001795.1	C8orf82
NM_001001802.2	OR2A42
NM_001001821.1	OR2T34
NM_001001824.1	OR2T27
NM_001001827.1	OR2T35
NM_001001850.2	STX19
NM_001001851.2	ITIH5
NM_001001852.3	PIM3
NM_001001872.3	C14orf37
NM_001001874.2	TPD52L3
NM_001001875.3	TPD52L3
NM_001001877.1	HSFY2
NM_001001888.3	VCX3B
NM_001001890.2	RUNX1
NM_001001891.3	ANO7
NM_001001894.2	TTC3
NM_001001895.2	UBASH3A
NM_001001912.2	OR4E2
NM_001001913.1	OR52N1
NM_001001914.1	OR2G3
NM_001001915.1	OR2G2
NM_001001916.2	OR52J3
NM_001001917.2	OR56A1
NM_001001918.1	OR14C36
NM_001001919.1	OR13C4
NM_001001920.1	OR4C15
NM_001001921.1	OR5AS1
NM_001001922.2	OR52N5
NM_001001923.1	OR5C1
NM_001001924.2	MTUS1
NM_001001925.2	MTUS1
NM_001001928.2	PPARA
NM_001001931.2	MTUS1
NM_001001933.1	LHX8
NM_001001935.2	ATP5A1
NM_001001936.2	AFAP1L2
NM_001001937.1	ATP5A1
NM_001001938.3	C9orf47
NM_001001952.1	OR5D18
NM_001001953.1	OR10G9
NM_001001954.1	OR5A2
NM_001001955.2	OR4C13
NM_001001956.1	OR13C9
NM_001001957.2	OR2W3
NM_001001958.1	OR7G3
NM_001001959.1	OR11L1
NM_001001960.1	OR5W2
NM_001001961.1	OR13C3
NM_001001963.1	OR2L8
NM_001001964.1	OR2T11
NM_001001965.1	OR4D5
NM_001001966.1	OR14A16
NM_001001967.1	OR5D13
NM_001001968.1	OR6S1
NM_001001971.2	FAM13C
NM_001001973.2	ATP5C1
NM_001001974.2	PLEKHA1
NM_001001975.1	ATP5D
NM_001001976.2	ATE1
NM_001001991.2	PAMR1
NM_001001992.1	USP16
NM_001001994.2	GPM6B
NM_001001995.2	GPM6B
NM_001001996.2	GPM6B
NM_001001998.2	EXOSC10
NM_001002.3	RPLP0
NM_001002000.2	GMPR2
NM_001002001.2	GMPR2
NM_001002002.2	GMPR2
NM_001002006.2	NT5C1B
NM_001002009.2	NT5C3A
NM_001002010.2	NT5C3A
NM_001002017.2	HCFC1R1
NM_001002018.2	HCFC1R1
NM_001002019.2	PUS1
NM_001002020.2	PUS1
NM_001002021.2	PFKL
NM_001002026.2	CLDN18
NM_001002027.1	ATP5G1
NM_001002029.3	C4B
NM_001002030.1	ECHDC1
NM_001002031.2	ATP5G2
NM_001002032.2	HN1
NM_001002033.2	HN1
NM_001002034.2	FAM109B
NM_001002035.1	DEFB108B
NM_001002036.3	ASTL
NM_001002231.2	KLK2
NM_001002235.2	SERPINA1
NM_001002236.2	SERPINA1
NM_001002243.2	AFTPH
NM_001002244.2	ANAPC11
NM_001002245.2	ANAPC11
NM_001002246.2	ANAPC11
NM_001002247.2	ANAPC11
NM_001002248.2	ANAPC11
NM_001002249.2	ANAPC11
NM_001002251.2	ARL6IP4
NM_001002252.2	ARL6IP4
NM_001002254.1	AWAT2
NM_001002255.1	SUMO4
NM_001002257.2	LCLAT1
NM_001002258.4	ATP5G3
NM_001002259.2	CAPRIN2
NM_001002261.3	ZFYVE27
NM_001002262.3	ZFYVE27
NM_001002264.3	EPSTI1
NM_001002266.2	MARCH8
NM_001002269.2	EXOSC3
NM_001002273.2	FCGR2B
NM_001002274.2	FCGR2B
NM_001002275.2	FCGR2B
NM_001002292.3	WLS
NM_001002294.2	FMO3
NM_001002295.1	GATA3
NM_001002296.1	GOLGA7
NM_001002755.2	NFU1
NM_001002756.2	NFU1
NM_001002758.1	PRY2
NM_001002759.1	SFR1
NM_001002760.1	BPY2B
NM_001002761.1	BPY2C
NM_001002762.2	DNAJB12
NM_001002796.3	MCTP1
NM_001002800.2	SMC4
NM_001002810.3	PDE4DIP
NM_001002811.2	PDE4DIP
NM_001002812.2	PDE4DIP
NM_001002814.2	RAB11FIP1
NM_001002836.3	ZNF787
NM_001002837.2	INPP5J
NM_001002838.3	WNK3
NM_001002841.1	MYL4
NM_001002843.2	ZNF280D
NM_001002844.2	ZNF280D
NM_001002857.1	ANXA2
NM_001002858.2	ANXA2
NM_001002860.3	BTBD7
NM_001002862.2	DERL3
NM_001002876.2	CENPM
NM_001002877.1	THOC5
NM_001002878.1	THOC5
NM_001002879.1	THOC5
NM_001002880.1	CBY1
NM_001002901.3	FCRLB
NM_001002906.1	XKRY2
NM_001002907.1	OR8K1
NM_001002909.3	GPATCH8
NM_001002911.3	GPR139
NM_001002912.4	ERICH3
NM_001002913.2	PTRH1
NM_001002914.2	KCTD11
NM_001002915.2	IGFL2
NM_001002916.4	H2BFWT
NM_001002917.1	OR8D1
NM_001002918.1	OR8D2
NM_001002919.2	FAM150B
NM_001002920.1	POTEA
NM_001002923.1	IGFL4
NM_001002924.2	AP3S1
NM_001002925.1	OR5AP2
NM_001002926.1	TWISTNB
NM_001003.2	RPLP1
NM_001003395.2	TPD52L1
NM_001003396.2	TPD52L1
NM_001003397.2	TPD52L1
NM_001003398.1	BICD1
NM_001003406.1	CACNA1I
NM_001003407.1	ABLIM1
NM_001003408.1	ABLIM1
NM_001003443.2	OR56A3
NM_001003652.3	SMAD2
NM_001003665.3	STUM
NM_001003674.3	LDLRAD4
NM_001003675.3	LDLRAD4
NM_001003676.2	C11orf49
NM_001003677.2	C11orf49
NM_001003678.2	C11orf49
NM_001003679.3	LEPR
NM_001003680.3	LEPR
NM_001003681.2	HMGXB4
NM_001003682.3	TMEM200B
NM_001003683.2	PDE1A
NM_001003684.1	UQCR10
NM_001003688.1	SMAD1
NM_001003690.1	MAD2L1BP
NM_001003692.1	ZMAT5
NM_001003693.1	LY6G6F
NM_001003694.1	BRPF1
NM_001003696.1	ATP5J
NM_001003697.1	ATP5J
NM_001003698.3	RREB1
NM_001003699.3	RREB1
NM_001003700.1	RREB1
NM_001003701.1	ATP5J
NM_001003702.2	ARHGEF35
NM_001003703.1	ATP5J
NM_001003704.2	MTFP1
NM_001003712.1	OSBPL8
NM_001003713.2	ATP5J2
NM_001003714.2	ATP5J2
NM_001003715.3	RECQL5
NM_001003716.3	RECQL5
NM_001003722.1	GLE1
NM_001003745.1	OR10A3
NM_001003750.1	OR8I2
NM_001003760.4	KLHL31
NM_001003785.1	ATP5H
NM_001003786.2	STRADA
NM_001003787.2	STRADA
NM_001003788.2	STRADA
NM_001003789.1	RABL2B
NM_001003790.3	ERLIN2
NM_001003791.2	ERLIN2
NM_001003792.2	RBMS3
NM_001003793.2	RBMS3
NM_001003794.2	MGLL
NM_001003795.2	GTF2IRD2B
NM_001003796.1	SNU13
NM_001003799.1	TARP
NM_001003800.1	BICD2
NM_001003801.1	SMARCD3
NM_001003802.1	SMARCD3
NM_001003803.2	ATP5S
NM_001003805.2	ATP5S
NM_001003806.1	TARP
NM_001003809.2	DLGAP1
NM_001003811.1	TEX11
NM_001003818.2	TRIM6
NM_001003819.3	TRIM6-TRIM34
NM_001003827.1	TRIM34
NM_001003828.2	PARVB
NM_001003841.2	SLC6A19
NM_001003845.2	SP5
NM_001003891.2	MED15
NM_001003892.1	DUPD1
NM_001003894.1	CDY1B
NM_001003895.1	CDY1B
NM_001003897.1	MANBAL
NM_001003927.2	EVI2A
NM_001003931.3	PARP3
NM_001003936.3	TXNDC8
NM_001003937.2	TSPYL6
NM_001003938.3	HBM
NM_001003940.1	BMF
NM_001003941.2	OGDH
NM_001003942.1	BMF
NM_001003943.2	BMF
NM_001003945.2	ALAD
NM_001003954.2	ANXA13
NM_001003962.2	CAPNS1
NM_001004.3	RPLP2
NM_001004019.1	FBLN2
NM_001004023.1	DYRK3
NM_001004051.3	GPRASP2
NM_001004052.1	OR52B2
NM_001004055.1	LRRC29
NM_001004056.1	GRK4
NM_001004057.1	GRK4
NM_001004058.2	OR8K5
NM_001004059.2	OR4S2
NM_001004060.1	NOMO2
NM_001004063.2	OR4K1
NM_001004064.1	OR8J3
NM_001004065.4	AKAP2
NM_001004067.3	NOMO3
NM_001004105.2	GRK6
NM_001004106.2	GRK6
NM_001004124.2	OR4P4
NM_001004125.2	TUSC1
NM_001004127.2	ALG11
NM_001004128.2	QSOX1
NM_001004134.1	OR10AD1
NM_001004135.1	OR2A12
NM_001004136.1	OR2T2
NM_001004137.1	OR52M1
NM_001004195.2	OR4F4
NM_001004196.3	CD200
NM_001004297.2	OR13A1
NM_001004298.2	C10orf90
NM_001004301.3	ZNF813
NM_001004303.4	C1orf168
NM_001004304.3	ZNF740
NM_001004306.2	CCDC144NL
NM_001004308.2	ZCCHC16
NM_001004309.2	ZNF774
NM_001004310.2	FCRL6
NM_001004311.3	FIGLA
NM_001004312.2	RTP2
NM_001004313.1	TMEM220
NM_001004316.2	LEKR1
NM_001004317.3	LIN28B
NM_001004318.2	ACP7
NM_001004319.2	VHLL
NM_001004320.1	AGMO
NM_001004323.1	C7orf61
NM_001004325.1	KRTAP5-2
NM_001004326.4	SLC22A20
NM_001004328.2	ZNF705A
NM_001004329.2	DBX2
NM_001004330.2	PLEKHG7
NM_001004333.4	RNASEK
NM_001004334.3	GPR179
NM_001004339.2	ZYG11A
NM_001004340.3	FCGR1B
NM_001004341.2	ETV3L
NM_001004342.3	TRIM67
NM_001004343.2	MAP1LC3C
NM_001004346.3	MTHFD2L
NM_001004351.4	SPDYE3
NM_001004352.2	LOC100506422
NM_001004353.3	STPG3
NM_001004356.2	FGFRL1
NM_001004358.1	FGFRL1
NM_001004360.3	DPP10
NM_001004416.2	UMODL1
NM_001004419.4	CLEC2D
NM_001004426.1	PLA2G6
NM_001004431.2	METRNL
NM_001004432.3	LINGO4
NM_001004434.2	SLC30A2
NM_001004439.1	ITGA11
NM_001004440.1	FAM19A3
NM_001004441.2	ANKRD34B
NM_001004450.1	OR1B1
NM_001004451.1	OR1J1
NM_001004452.1	OR1J4
NM_001004453.2	OR1L6
NM_001004454.1	OR1L8
NM_001004456.1	OR1M1
NM_001004457.1	OR1N2
NM_001004458.1	OR1S1
NM_001004459.1	OR1S2
NM_001004460.1	OR10A2
NM_001004461.1	OR10A6
NM_001004462.1	OR10G4
NM_001004463.1	OR10G7
NM_001004464.1	OR10G8
NM_001004465.1	OR10H4
NM_001004466.1	OR10H5
NM_001004467.1	OR10J3
NM_001004469.1	OR10J5
NM_001004470.2	ST8SIA6
NM_001004471.2	OR10Q1
NM_001004472.1	OR10R2
NM_001004473.1	OR10K1
NM_001004474.1	OR10S1
NM_001004475.1	OR10T2
NM_001004476.1	OR10K2
NM_001004477.1	OR10X1
NM_001004478.1	OR10Z1
NM_001004479.1	OR11H4
NM_001004480.1	OR11H6
NM_001004481.1	OR13C2
NM_001004482.1	OR13C5
NM_001004483.1	OR13C8
NM_001004484.1	OR13D1
NM_001004485.1	OR13F1
NM_001004486.1	OR13H1
NM_001004487.1	OR13J1
NM_001004488.1	OR2A25
NM_001004489.2	OR2AG1
NM_001004490.1	OR2AG2
NM_001004491.1	OR2AK2
NM_001004492.1	OR2B11
NM_001004684.1	OR2D3
NM_001004685.1	OR2F2
NM_001004686.2	OR2L2
NM_001004687.1	OR2L3
NM_001004688.1	OR2M2
NM_001004689.1	OR2M3
NM_001004690.1	OR2M5
NM_001004691.1	OR2M7
NM_001004692.1	OR2T12
NM_001004693.1	OR2T10
NM_001004694.2	OR2T29
NM_001004695.1	OR2T33
NM_001004696.1	OR2T4
NM_001004697.1	OR2T5
NM_001004698.2	OR2W5
NM_001004699.2	OR2Z1
NM_001004700.2	OR4C11
NM_001004701.2	OR4C16
NM_001004702.1	OR4C3
NM_001004703.1	OR4C46
NM_001004704.1	OR4C6
NM_001004705.1	OR4D10
NM_001004706.1	OR4D11
NM_001004707.3	OR4D2
NM_001004708.1	OR4D6
NM_001004711.1	OR4D9
NM_001004712.1	OR4K14
NM_001004713.1	OR1I1
NM_001004714.1	OR4K13
NM_001004715.1	OR4K17
NM_001004717.1	OR4L1
NM_001004719.2	OR4M2
NM_001004720.2	NCK2
NM_001004722.3	NCK2
NM_001004723.2	OR4N2
NM_001004724.1	OR4N5
NM_001004725.1	OR4S1
NM_001004726.1	OR4X1
NM_001004727.1	OR4X2
NM_001004728.1	OR5A1
NM_001004729.1	OR5AN1
NM_001004730.1	OR5AR1
NM_001004731.1	OR5AU1
NM_001004733.2	OR5B12
NM_001004734.1	OR14I1
NM_001004735.1	OR5D14
NM_001004736.3	OR5K1
NM_001004737.1	OR5K2
NM_001004738.2	OR5L1
NM_001004739.1	OR5L2
NM_001004740.1	OR5M1
NM_001004741.1	OR5M10
NM_001004742.2	OR5M3
NM_001004743.1	OR5M9
NM_001004744.1	OR5R1
NM_001004745.1	OR5T1
NM_001004746.1	OR5T2
NM_001004747.1	OR5T3
NM_001004748.1	OR51A2
NM_001004749.1	OR51A7
NM_001004750.1	OR51B6
NM_001004751.2	OR51D1
NM_001004752.1	OR51F1
NM_001004753.1	OR51F2
NM_001004754.2	OR51I2
NM_001004755.1	OR51L1
NM_001004756.2	OR51M1
NM_001004757.2	OR51Q1
NM_001004758.1	OR51S1
NM_001004759.1	OR51T1
NM_001004760.2	OR51V1
NM_001005.4	RPS3
NM_001005160.2	OR52A5
NM_001005161.3	OR52B4
NM_001005162.2	OR52B6
NM_001005163.2	OR52D1
NM_001005164.2	OR52E2
NM_001005165.1	OR52E4
NM_001005167.1	OR52E6
NM_001005168.1	OR52E8
NM_001005169.1	OR52I1
NM_001005170.2	OR52I2
NM_001005171.2	OR52K1
NM_001005172.2	OR52K2
NM_001005173.3	OR52L1
NM_001005174.1	OR52N2
NM_001005175.3	OR52N4
NM_001005176.2	SP140
NM_001005177.3	OR52R1
NM_001005178.1	OR52W1
NM_001005179.2	OR56A4
NM_001005180.2	OR56B1
NM_001005181.2	OR56B4
NM_001005182.1	OR6C1
NM_001005183.1	OR6C76
NM_001005184.1	OR6K6
NM_001005185.1	OR6N1
NM_001005186.2	OR6Q1
NM_001005187.1	OR6T1
NM_001005188.1	OR6X1
NM_001005189.1	OR6Y1
NM_001005190.1	OR7A10
NM_001005191.2	OR7D4
NM_001005192.2	OR7G1
NM_001005193.1	OR7G2
NM_001005194.1	OR8A1
NM_001005195.1	OR8B12
NM_001005196.1	OR8B4
NM_001005197.1	OR8D4
NM_001005198.1	OR8G5
NM_001005199.1	OR8H1
NM_001005200.1	OR8H2
NM_001005201.1	OR8H3
NM_001005202.1	OR8K3
NM_001005203.2	OR8S1
NM_001005204.1	OR8U1
NM_001005205.2	OR8J1
NM_001005207.3	TRIM37
NM_001005209.2	TMEM198
NM_001005210.2	LRRC55
NM_001005211.1	OR9I1
NM_001005212.3	OR9Q1
NM_001005213.1	OR9G1
NM_001005214.3	LRRC52
NM_001005216.3	OR2J3
NM_001005217.1	FRG2
NM_001005218.1	OR5B21
NM_001005221.2	OR4F29
NM_001005224.1	OR4F3
NM_001005226.2	OR2B3
NM_001005234.1	OR1L3
NM_001005235.1	OR1L4
NM_001005236.3	OR1L1
NM_001005237.1	OR51G1
NM_001005238.1	OR51G2
NM_001005239.1	OR11H1
NM_001005240.1	OR4F17
NM_001005241.3	OR4N4
NM_001005242.2	PKP2
NM_001005243.1	OR9K2
NM_001005245.1	OR5M11
NM_001005270.4	OR4C12
NM_001005271.2	CHD3
NM_001005272.3	OR4A5
NM_001005273.2	CHD3
NM_001005274.1	OR4A16
NM_001005275.1	OR4A15
NM_001005276.1	OR2AE1
NM_001005277.1	OR4F16
NM_001005278.1	OR6N2
NM_001005279.1	OR6K2
NM_001005280.1	OR10A7
NM_001005281.1	OR6B1
NM_001005282.1	OR5M8
NM_001005283.2	OR9Q2
NM_001005284.1	OR9G4
NM_001005285.1	OR2AT4
NM_001005286.1	OR6F1
NM_001005287.1	OR2A1
NM_001005288.2	OR51I1
NM_001005289.1	OR52H1
NM_001005290.3	PSRC1
NM_001005291.2	SREBF1
NM_001005323.1	OR5AK2
NM_001005324.1	OR10V1
NM_001005325.1	OR6M1
NM_001005326.1	OR4F6
NM_001005327.2	OR6K3
NM_001005328.1	OR2A7
NM_001005329.1	OR51A4
NM_001005332.1	MAGED1
NM_001005333.1	MAGED1
NM_001005336.2	DNM1
NM_001005337.2	PKP1
NM_001005338.1	OR5H1
NM_001005339.1	RGS10
NM_001005340.1	GPNMB
NM_001005353.2	AK4
NM_001005354.2	PRR13
NM_001005356.2	POTEG
NM_001005360.2	DNM2
NM_001005361.2	DNM2
NM_001005362.2	DNM2
NM_001005365.2	POTEA
NM_001005366.1	KDM2B
NM_001005367.2	TTYH1
NM_001005368.2	ZNF32
NM_001005369.1	MTIF2
NM_001005373.3	LRSAM1
NM_001005374.3	LRSAM1
NM_001005375.2	DAZ4
NM_001005376.2	PLAUR
NM_001005377.2	PLAUR
NM_001005386.2	ACTR2
NM_001005388.2	NFASC
NM_001005389.1	NFASC
NM_001005404.3	YPEL2
NM_001005405.2	KRTAP5-11
NM_001005407.1	CACNA1H
NM_001005408.1	NEURL4
NM_001005413.1	ZWINT
NM_001005415.1	MARCH2
NM_001005416.1	MARCH2
NM_001005417.2	B4GALT2
NM_001005463.2	EBF3
NM_001005464.2	HIST2H3A
NM_001005465.1	OR10G3
NM_001005466.2	OR10G2
NM_001005467.1	OR8B3
NM_001005468.1	OR8B2
NM_001005469.1	OR5B3
NM_001005470.1	OR4B1
NM_001005471.1	OR2T6
NM_001005473.2	PLCXD3
NM_001005474.2	NFKBIZ
NM_001005476.2	PKP4
NM_001005479.1	OR5H6
NM_001005480.2	OR2A2
NM_001005482.1	OR5H2
NM_001005483.1	OR4K5
NM_001005484.1	OR4F5
NM_001005486.1	OR4K15
NM_001005487.1	OR13G1
NM_001005489.1	OR5B17
NM_001005490.1	OR6C74
NM_001005491.1	OR10AG1
NM_001005492.1	OR5J2
NM_001005493.1	OR6C6
NM_001005494.1	OR6C4
NM_001005495.1	OR2T3
NM_001005496.1	OR5D16
NM_001005497.1	OR6C75
NM_001005498.3	RHBDF2
NM_001005499.1	OR6C70
NM_001005500.1	OR4M1
NM_001005501.1	OR4K2
NM_001005502.2	CPM
NM_001005503.1	OR11G2
NM_001005504.1	OR4F21
NM_001005505.2	CACNA2D2
NM_001005512.2	OR4A47
NM_001005514.1	OR5H14
NM_001005515.1	OR5H15
NM_001005516.1	OR5K3
NM_001005517.1	OR5K4
NM_001005518.1	OR6C65
NM_001005519.2	OR6C68
NM_001005522.1	OR2T8
NM_001005526.2	SF3B1
NM_001005527.2	FAM19A4
NM_001005566.2	OR5B2
NM_001005567.2	OR51B5
NM_001005609.1	EDA
NM_001005610.3	EDA
NM_001005612.2	EDA
NM_001005613.3	EDA
NM_001005619.1	ITGB4
NM_001005731.2	ITGB4
NM_001005735.1	CHEK2
NM_001005738.1	FPR2
NM_001005739.1	VPS54
NM_001005741.2	GBA
NM_001005742.2	GBA
NM_001005743.1	NUMB
NM_001005744.1	NUMB
NM_001005745.1	NUMB
NM_001005746.3	CACNB4
NM_001005747.3	CACNB4
NM_001005751.2	WASHC2A
NM_001005752.1	GJB3
NM_001005753.2	CHMP3
NM_001005781.1	SUMO1
NM_001005782.1	SUMO1
NM_001005783.2	HAO2
NM_001005785.2	DAZ2
NM_001005786.2	DAZ2
NM_001005849.1	SUMO2
NM_001005850.2	ZNF835
NM_001005851.2	ZNF780B
NM_001005853.1	OR6B2
NM_001005855.1	ATP8B2
NM_001005861.2	RYK
NM_001005862.2	ERBB2
NM_001005909.2	IP6K2
NM_001005910.2	IP6K2
NM_001005911.2	IP6K2
NM_001005914.2	SEMA3B
NM_001005915.1	ERBB3
NM_001005918.2	ATP7B
NM_001005920.2	JMJD8
NM_001005922.1	KRTAP5-1
NM_001006.4	RPS3A
NM_001006109.1	HMCES
NM_001006114.2	YBEY
NM_001006115.2	IP6K1
NM_001006117.3	RBMY1J
NM_001006118.2	RBMY1E
NM_001006120.3	RBMY1D
NM_001006121.3	RBMY1B
NM_001006600.2	ERBIN
NM_001006605.4	FAM69A
NM_001006607.2	LRRC37A2
NM_001006610.1	SIAH1
NM_001006612.1	TCEAL9
NM_001006613.1	TCEAL9
NM_001006614.1	TCEAL9
NM_001006615.2	WDR31
NM_001006616.2	TSPAN17
NM_001006617.1	MAPKAP1
NM_001006618.1	MAPKAP1
NM_001006619.1	MAPKAP1
NM_001006620.1	MAPKAP1
NM_001006621.1	MAPKAP1
NM_001006622.2	WDR33
NM_001006623.2	WDR33
NM_001006624.1	PDPN
NM_001006625.1	PDPN
NM_001006626.1	CHRM2
NM_001006627.1	CHRM2
NM_001006628.1	CHRM2
NM_001006629.1	CHRM2
NM_001006630.1	CHRM2
NM_001006631.1	CHRM2
NM_001006632.1	CHRM2
NM_001006634.2	ARHGAP17
NM_001006635.2	MTX2
NM_001006636.3	GTDC1
NM_001006638.2	RAB37
NM_001006639.1	TCEAL1
NM_001006640.1	TCEAL1
NM_001006641.3	SLC25A25
NM_001006642.3	SLC25A25
NM_001006655.2	FAM149A
NM_001006656.3	ZNF473
NM_001006657.1	WDR35
NM_001006658.2	CR2
NM_001006665.1	RPS6KA1
NM_001006666.1	APOBEC3F
NM_001006681.1	SPIN2B
NM_001006682.1	SPIN2B
NM_001006683.1	SPIN2B
NM_001006684.1	TCEAL8
NM_001006932.2	RPS6KA2
NM_001006933.1	TCEAL3
NM_001006935.2	TCEAL4
NM_001006937.2	TCEAL4
NM_001006938.2	TCEAL6
NM_001006939.3	LRRC18
NM_001006941.2	ALG3
NM_001006943.2	EPHA8
NM_001006944.1	RPS6KA4
NM_001006945.1	LRIF1
NM_001006946.1	SDC1
NM_001006947.1	UHRF1BP1L
NM_001007.4	RPS4X
NM_001007022.2	ODF2L
NM_001007023.4	DIO2
NM_001007024.1	GOSR1
NM_001007025.1	GOSR1
NM_001007026.1	ATN1
NM_001007027.2	ALG8
NM_001007033.1	CLEC6A
NM_001007067.1	SDCBP
NM_001007068.1	SDCBP
NM_001007069.1	SDCBP
NM_001007070.1	SDCBP
NM_001007072.1	ZSCAN2
NM_001007073.1	RPL32
NM_001007074.1	RPL32
NM_001007075.2	KLHL5
NM_001007088.1	ZNF182
NM_001007089.3	RESP18
NM_001007090.2	C8orf48
NM_001007094.2	ZNF37A
NM_001007097.2	NTRK2
NM_001007098.2	SCP2
NM_001007099.2	SCP2
NM_001007100.2	SCP2
NM_001007101.2	ZNF484
NM_001007102.3	L3MBTL3
NM_001007122.3	FSD2
NM_001007125.1	LKAAEAR1
NM_001007139.5	IGF2
NM_001007156.2	NTRK3
NM_001007169.3	ZNF483
NM_001007176.4	C8orf22
NM_001007188.2	DEPDC5
NM_001007189.1	IGIP
NM_001007214.1	CACYBP
NM_001007225.2	IGF2BP2
NM_001007226.1	SPOP
NM_001007227.1	SPOP
NM_001007228.1	SPOP
NM_001007229.1	SPOP
NM_001007230.1	SPOP
NM_001007231.2	ARHGAP25
NM_001007232.1	CARD17
NM_001007233.2	ERCC8
NM_001007234.2	ERCC8
NM_001007237.2	IGSF3
NM_001007239.1	METTL13
NM_001007240.2	GP2
NM_001007241.2	GP2
NM_001007242.2	GP2
NM_001007245.2	IFRD1
NM_001007246.2	BRWD1
NM_001007248.2	ZNF599
NM_001007250.2	SCP2
NM_001007253.3	ERV3-1
NM_001007255.2	KLHDC9
NM_001007257.2	PRDM2
NM_001007259.2	SETD4
NM_001007261.2	SETD4
NM_001007267.2	PLA2R1
NM_001007269.1	GEMIN7
NM_001007270.1	GEMIN7
NM_001007271.1	DUSP13
NM_001007272.1	DUSP13
NM_001007273.1	DUSP13
NM_001007278.2	TRIM13
NM_001007464.2	RWDD1
NM_001007466.2	TULP4
NM_001007467.2	SFI1
NM_001007468.2	SMARCB1
NM_001007469.1	HCST
NM_001007470.1	TRPM3
NM_001007471.2	TRPM3
NM_001007523.1	F8A2
NM_001007524.1	F8A3
NM_001007525.4	NWD1
NM_001007527.1	LMBRD2
NM_001007530.1	CDRT15
NM_001007531.2	NKAPL
NM_001007532.2	STH
NM_001007533.3	PPP1R27
NM_001007534.2	C3orf56
NM_001007537.2	C1QTNF9B
NM_001007538.1	SHISA2
NM_001007540.3	CDHR4
NM_001007544.3	C1orf186
NM_001007551.4	CT45A5
NM_001007553.2	CSDE1
NM_001007559.2	SS18
NM_001007561.2	IRGQ
NM_001007563.2	IGFBPL1
NM_001007565.2	TFG
NM_001007593.2	SMPD1
NM_001007595.2	C2CD4B
NM_001007792.1	NTRK1
NM_001007793.2	BUB3
NM_001007794.2	CEPT1
NM_001008.3	RPS4Y1
NM_001008211.1	OPTN
NM_001008212.1	OPTN
NM_001008213.1	OPTN
NM_001008215.2	COA5
NM_001008216.1	GALE
NM_001008218.1	AMY1B
NM_001008219.2	AMY1C
NM_001008220.1	CPLX2
NM_001008221.1	AMY1A
NM_001008222.2	ZDHHC9
NM_001008223.1	C1QL4
NM_001008224.1	UACA
NM_001008225.2	CNOT4
NM_001008226.1	SAXO2
NM_001008228.2	MOG
NM_001008229.2	MOG
NM_001008237.2	TTC32
NM_001008239.2	C18orf25
NM_001008269.1	TMEM89
NM_001008270.2	PRSS37
NM_001008272.1	TAGLN3
NM_001008273.1	TAGLN3
NM_001008274.3	TRIM72
NM_001008387.2	REG3G
NM_001008388.4	CISD2
NM_001008389.2	UMOD
NM_001008390.1	CGGBP1
NM_001008391.3	CCDC73
NM_001008392.1	CTDSPL
NM_001008393.3	C4orf46
NM_001008394.2	EID3
NM_001008395.3	LAMTOR4
NM_001008396.2	WDHD1
NM_001008397.3	GPX8
NM_001008401.3	ZNF761
NM_001008404.2	C14orf180
NM_001008405.2	BCAP29
NM_001008409.2	TTLL9
NM_001008410.1	STEAP3
NM_001008485.1	SLC41A3
NM_001008486.1	SLC41A3
NM_001008487.1	SLC41A3
NM_001008489.3	PHOSPHO2
NM_001008491.2	SEPT2
NM_001008492.2	SEPT2
NM_001008493.2	ENAH
NM_001008495.3	TMEM64
NM_001008496.3	PIWIL3
NM_001008503.2	OPRM1
NM_001008504.3	OPRM1
NM_001008505.2	OPRM1
NM_001008528.2	MXRA7
NM_001008529.2	MXRA7
NM_001008530.2	LGMN
NM_001008534.1	AKAP14
NM_001008535.1	AKAP14
NM_001008536.1	TCHHL1
NM_001008537.2	KIAA2022
NM_001008539.3	SLC7A2
NM_001008540.2	CXCR4
NM_001008541.1	MXI1
NM_001008563.4	USP20
NM_001008564.1	NUP58
NM_001008566.1	TPST2
NM_001008657.2	TCOF1
NM_001008660.2	PICALM
NM_001008661.2	KYAT3
NM_001008662.2	KYAT3
NM_001008693.2	CST9
NM_001008695.1	THAP7
NM_001008697.2	TFIP11
NM_001008701.2	ADGRL1
NM_001008703.2	C6orf1
NM_001008704.2	C6orf1
NM_001008707.1	EML1
NM_001008708.3	CHAC2
NM_001008709.1	PPP1CA
NM_001008710.2	RBPMS
NM_001008711.2	RBPMS
NM_001008712.2	RBPMS
NM_001008723.1	CFAP58
NM_001008726.2	WDR89
NM_001008727.3	ZNF121
NM_001008737.1	LOC401052
NM_001008738.2	FNIP1
NM_001008739.1	C6orf226
NM_001008740.3	TMCO2
NM_001008743.2	SULT1C3
NM_001008744.1	TDP1
NM_001008747.2	CTAGE15
NM_001008749.2	RAB19
NM_001008777.2	FBXO47
NM_001008778.1	SPDYC
NM_001008779.1	SPDYA
NM_001008781.2	FAT3
NM_001008783.2	SLC35D3
NM_001008784.2	CD200R1L
NM_001008800.2	CCT3
NM_001008801.1	ZNF468
NM_001008844.2	DSP
NM_001008860.2	NIPA2
NM_001008892.2	NIPA2
